s,V_C
6.300630063006301e-9,45.48137927514965
6.4006400640064e-9,45.411925683099696
6.5006500650065005e-9,45.34254151686568
6.600660066006601e-9,45.27322670704956
6.700670067006701e-9,45.20398118432263
6.800680068006801e-9,45.13480487942553
6.9006900690069e-9,45.065697723168114
7.0007000700070006e-9,44.99665964642939
7.100710071007101e-9,44.927690580157474
7.200720072007201e-9,44.85879045536949
7.300730073007301e-9,44.78995920315151
7.4007400740074005e-9,44.72119675465852
7.5007500750075e-9,44.65250304111433
7.600760076007601e-9,44.58387799381147
7.700770077007701e-9,44.515321544111146
7.800780078007801e-9,44.4468336234432
7.900790079007901e-9,44.378414163306005
8.000800080008002e-9,44.3100630952664
8.1008100810081e-9,44.24178035095966
8.2008200820082e-9,44.17356586208936
8.3008300830083e-9,44.105419560427364
8.4008400840084e-9,44.03734137781373
8.500850085008501e-9,43.969331246156656
8.600860086008601e-9,43.9013890974324
8.700870087008701e-9,43.83351486368521
8.800880088008801e-9,43.76570847702729
8.900890089008902e-9,43.69796986963867
9.000900090009e-9,43.63029897376718
9.1009100910091e-9,43.5626957217284
9.2009200920092e-9,43.495160045905536
9.3009300930093e-9,43.4276918787494
9.400940094009401e-9,43.36029115277833
9.500950095009501e-9,43.29295780057811
9.600960096009601e-9,43.2256917548019
9.700970097009701e-9,43.15849294817022
9.800980098009802e-9,43.091361313470784
9.900990099009902e-9,43.02429678355854
1.000100010001e-8,42.957299291355554
1.01010101010101e-8,42.890368769850895
1.02010201020102e-8,42.82350515210068
1.0301030103010301e-8,42.75670837122787
1.0401040104010401e-8,42.68997836042237
1.0501050105010501e-8,42.62331505294077
1.0601060106010601e-8,42.556718382106425
1.0701070107010702e-8,42.49018828130937
1.0801080108010802e-8,42.423724684006174
1.09010901090109e-8,42.35732752371993
1.1001100110011e-8,42.290996734040206
1.11011101110111e-8,42.22473224862293
1.1201120112011201e-8,42.15853400119035
1.1301130113011301e-8,42.09240192553098
1.1401140114011401e-8,42.026335955499505
1.1501150115011501e-8,41.960336025016744
1.1601160116011602e-8,41.89440206806955
1.1701170117011702e-8,41.82853401871078
1.18011801180118e-8,41.7627318110592
1.19011901190119e-8,41.69699537929942
1.2001200120012e-8,41.63132465768187
1.2101210121012101e-8,41.565719580522696
1.2201220122012201e-8,41.50018008220367
1.2301230123012301e-8,41.434706097172196
1.2401240124012401e-8,41.369297559941174
1.2501250125012502e-8,41.30395440508897
1.2601260126012602e-8,41.23867656725939
1.2701270127012702e-8,41.17346398116149
1.28012801280128e-8,41.10831658156965
1.29012901290129e-8,41.043234303323445
1.3001300130013001e-8,40.97821708132757
1.3101310131013101e-8,40.91326485055178
1.3201320132013201e-8,40.84837754603086
1.3301330133013301e-8,40.7835551028645
1.3401340134013402e-8,40.7187974562173
1.3501350135013502e-8,40.65410454131866
1.3601360136013602e-8,40.58947629346271
1.37013701370137e-8,40.52491264800827
1.38013801380138e-8,40.46041354037877
1.3901390139013901e-8,40.39597890606221
1.4001400140014001e-8,40.331608680611055
1.4101410141014101e-8,40.267302799642195
1.4201420142014202e-8,40.20306119883688
1.4301430143014302e-8,40.13888381394065
1.4401440144014402e-8,40.074770580763285
1.4501450145014502e-8,40.01072143517871
1.4601460146014602e-8,39.94673631312497
1.47014701470147e-8,39.88281515060416
1.4801480148014801e-8,39.818957883682295
1.4901490149014903e-8,39.75516444848934
1.5001500150015e-8,39.6914347812191
1.51015101510151e-8,39.62776881812915
1.5201520152015202e-8,39.56416649554077
1.53015301530153e-8,39.50062774983894
1.5401540154015402e-8,39.43715251747218
1.55015501550155e-8,39.373740734952555
1.5601560156015602e-8,39.31039233885561
1.57015701570157e-8,39.24710726582024
1.5801580158015803e-8,39.18388545254874
1.59015901590159e-8,39.120726835806636
1.6001600160016003e-8,39.05763135242267
1.6101610161016102e-8,38.99459893928873
1.62016201620162e-8,38.93162953335978
1.6301630163016302e-8,38.86872307165383
1.64016401640164e-8,38.80587949125183
1.6501650165016502e-8,38.74309872929761
1.66016601660166e-8,38.68038072299785
1.6701670167016703e-8,38.61772540962201
1.68016801680168e-8,38.555132726502215
1.6901690169016903e-8,38.49260261103326
1.7001700170017002e-8,38.43013500067253
1.71017101710171e-8,38.3677298329399
1.7201720172017202e-8,38.30538704541772
1.73017301730173e-8,38.24310657575073
1.7401740174017402e-8,38.180888361645984
1.75017501750175e-8,38.11873234087284
1.7601760176017603e-8,38.05663845126281
1.77017701770177e-8,37.994606630709605
1.7801780178017803e-8,37.93263681716899
1.7901790179017902e-8,37.87072894865872
1.8001800180018e-8,37.808882963258576
1.8101810181018102e-8,37.74709879911017
1.82018201820182e-8,37.685376394416984
1.8301830183018302e-8,37.62371568744426
1.84018401840184e-8,37.562116616518956
1.8501850185018503e-8,37.50057912002967
1.86018601860186e-8,37.439103136426596
1.8701870187018703e-8,37.37768860422143
1.8801880188018802e-8,37.316335461987386
1.89018901890189e-8,37.25504364835901
1.9001900190019002e-8,37.19381310203224
1.91019101910191e-8,37.13264376176427
1.9201920192019202e-8,37.07153556637352
1.93019301930193e-8,37.010488454739566
1.9401940194019403e-8,36.949502365803085
1.95019501950195e-8,36.88857723856578
1.9601960196019603e-8,36.82771301209032
1.9701970197019702e-8,36.76690962550033
1.9801980198019804e-8,36.70616701798023
1.9901990199019902e-8,36.64548512877526
2.000200020002e-8,36.5848638971914
2.0102010201020103e-8,36.52430326259526
2.02020202020202e-8,36.463803164414124
2.0302030203020303e-8,36.40336354213576
2.04020402040204e-8,36.34298433530845
2.0502050205020503e-8,36.282665483540924
2.0602060206020602e-8,36.222406926502245
2.0702070207020704e-8,36.162208603921805
2.0802080208020802e-8,36.102070455589235
2.09020902090209e-8,36.04199242135434
2.1002100210021003e-8,35.98197444112707
2.11021102110211e-8,35.92201645487744
2.1202120212021203e-8,35.86211840263547
2.13021302130213e-8,35.802280224491106
2.1402140214021403e-8,35.7425018605942
2.1502150215021502e-8,35.68278325115443
2.1602160216021604e-8,35.623124336441236
2.1702170217021702e-8,35.56352505678376
2.18021802180218e-8,35.5039853525708
2.1902190219021903e-8,35.444505164250735
2.2002200220022e-8,35.385084432331475
2.2102210221022103e-8,35.32572309738039
2.22022202220222e-8,35.26642110002428
2.2302230223022303e-8,35.20717838094928
2.2402240224022402e-8,35.1479948809008
2.2502250225022504e-8,35.0888705406835
2.2602260226022602e-8,35.02980530116123
